	Domain	Phylum	Class	Order	Family	Genus	Species
Mealworm_MAG_0035	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus_kloosii
Mealworm_MAG_0036	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B_villorum
Mealworm_MAG_0037	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Mixta	Mixta_intestinalis
Mealworm_MAG_0038	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	NA
Mealworm_MAG_0039	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria
Mealworm_MAG_0040	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A_avium
Mealworm_MAG_0041	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium_nuruki
Mealworm_MAG_0042	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D_gallinarum
Mealworm_MAG_0043	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
Mealworm_MAG_0044	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_aerogenes
Mealworm_MAG_0045	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
Mealworm_MAG_0046	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	NA
Mealworm_MAG_0047	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus_gallinarum
Mealworm_MAG_0048	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Jejubacter	Jejubacter_calystegiae
Mealworm_MAG_0049	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D_sp022711995
Mealworm_MAG_0050	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_sakei_A
Mealworm_MAG_0051	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Mixta	Mixta_tenebrionis
Mealworm_MAG_0052	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae_G	DAIDKD01	NA
Mealworm_MAG_0053	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_sciuri
Superworm_MAG_0001	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA
Superworm_MAG_0002	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Mixta	Mixta_tenebrionis
Superworm_MAG_0003	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_thalpophilum
Superworm_MAG_0004	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Apibacter	NA
Superworm_MAG_0005	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA
Superworm_MAG_0006	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B_phoeniculicola
Superworm_MAG_0007	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	JALAGN01	NA
Superworm_MAG_0008	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A_murrayae
Superworm_MAG_0009	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	NA
Superworm_MAG_0010	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_aerogenes
Superworm_MAG_0011	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Brucella	Brucella_tritici
Superworm_MAG_0012	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sebaldella	NA
Superworm_MAG_0013	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E_putida
Superworm_MAG_0014	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
Superworm_MAG_0015	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA
Superworm_MAG_0016	Bacteria	Bacillota	Bacilli	JAJDGJ01	JAJDGJ01	JAJDGJ01	NA
Superworm_MAG_0017	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	NA	NA
Superworm_MAG_0018	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia_A	NA
Superworm_MAG_0019	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia_A	NA
Superworm_MAG_0020	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	NA
Superworm_MAG_0021	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus_kloosii
Superworm_MAG_0022	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_J	Enterococcus_J_nangangensis
Superworm_MAG_0023	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Hafnia	Hafnia_paralvei
Superworm_MAG_0024	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Merdenecus	NA
Superworm_MAG_0025	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA
Superworm_MAG_0026	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Intestinirhabdus	Intestinirhabdus_alba
Superworm_MAG_0027	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	NA	NA
Superworm_MAG_0028	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_aeruginosa
Superworm_MAG_0029	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas_capnocytophagoides
Superworm_MAG_0030	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_paramesenteroides
Superworm_MAG_0031	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A_sp036657695
Superworm_MAG_0032	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	HY326	NA
Superworm_MAG_0033	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_sp022712335
Superworm_MAG_0034	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_garvieae_A
Superworm_MAG_0035	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	NA
Superworm_MAG_0036	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_aerogenes
Superworm_MAG_0037	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	CALYQQ01	NA
Superworm_MAG_0038	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_J	Enterococcus_J_nangangensis
Superworm_MAG_0039	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_C	Enterococcus_C_leclercqii
Superworm_MAG_0040	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	NA
Superworm_MAG_0041	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_J	NA
Superworm_MAG_0042	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_cloacae
Superworm_MAG_0043	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E_sp016648105
Superworm_MAG_0044	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa
Superworm_MAG_0045	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium_sp022712275
Superworm_MAG_0046	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D_gallinarum
Superworm_MAG_0047	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_wuhouensis
Superworm_MAG_0048	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_indicum_A
Superworm_MAG_0049	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_taiwanensis
Superworm_MAG_0050	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	NA
Superworm_MAG_0051	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	NA
Superworm_MAG_0052	Bacteria	Bacillota	Clostridia	Clostridiales	Caloramatoraceae	NA	NA
Superworm_MAG_0053	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Entomomonas	NA
Superworm_MAG_0054	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	NA
Superworm_MAG_0055	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus
Superworm_MAG_0056	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_guillouiae
Superworm_MAG_0057	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	Kluyvera_cryocrescens
Superworm_MAG_0058	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter_werkmanii
Superworm_MAG_0059	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	Kluyvera_georgiana_A
Superworm_MAG_0060	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_J	NA
Superworm_MAG_0061	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
Superworm_MAG_0062	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus_A	NA
Superworm_MAG_0063	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	NA
Superworm_MAG_0064	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Dysgonomonas_gadei
Superworm_MAG_0065	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Neisseriaceae	JAGNPU01	NA
Superworm_MAG_0066	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_sp022712315
Superworm_MAG_0067	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A_avium
Superworm_MAG_0068	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_sp003729935
Superworm_MAG_0069	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Morganella	Morganella_morganii
Superworm_MAG_0070	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	Lacrimispora_celerecrescens_B
Superworm_MAG_0071	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Neisseriaceae	JAGNPU01	NA
Superworm_MAG_0072	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NA
Superworm_MAG_0073	Bacteria	Bacillota	Bacilli	Culicoidibacterales	Culicoidibacteraceae	BHER01	NA
Superworm_MAG_0074	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_formosensis
Superworm_MAG_0075	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA
Superworm_MAG_0076	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_J	Enterococcus_J_nangangensis
Superworm_MAG_0077	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	NA
Superworm_MAG_0078	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Advenella	Advenella_sp023422555
Superworm_MAG_0079	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_sp022712315
Superworm_MAG_0080	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A_devriesei
Superworm_MAG_0081	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter_falsenii
Superworm_MAG_0082	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A_pseudoavium
Superworm_MAG_0083	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter_B	Citrobacter_B_koseri
Superworm_MAG_0084	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_C	Enterococcus_C_sp027692465
Superworm_MAG_0085	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter_B	Citrobacter_B_koseri
Superworm_MAG_0086	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis
Superworm_MAG_0087	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	NA
Superworm_MAG_0088	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter_falsenii
Superworm_MAG_0089	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Scandinavium	NA
Superworm_MAG_0090	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA
Superworm_MAG_0091	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium_nuruki
Superworm_MAG_0092	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	Kluyvera_georgiana_A
Superworm_MAG_0093	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	JALAGN01	NA
Superworm_MAG_0094	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_J	Enterococcus_J_sp946409145
Superworm_MAG_0095	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	NA
Superworm_MAG_0096	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Orbus	NA
Superworm_MAG_0097	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_C	Enterococcus_C_saigonensis
Superworm_MAG_0098	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_C	Enterococcus_C_stercoravium
Superworm_MAG_0099	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	NA
Superworm_MAG_0100	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
